q_id,q_group_id,pergunta_orig,query_enviada,tipo_anafora,modo,n_retornados,total_hits_est,tempo_ms,doc_1_id,doc_1_fonte,doc_1_data,doc_2_id,doc_3_id,doc_4_id,doc_5_id,doc_6_id,doc_7_id,doc_8_id,doc_9_id,doc_10_id,todos_doc_ids,erro
0001,2600,Que animal é o Cocas?,Que animal é o Cocas?,N/A,resolvida_sw,10,1000,28.0,PUBLICO-19950930-097,Publico,1995-09-30,FSP950210-007,PUBLICO-19941124-118,PUBLICO-19950505-055,FSP940703-067,PUBLICO-19940419-107,FSP951024-011,PUBLICO-19940119-159,PUBLICO-19940509-096,PUBLICO-19940922-055,PUBLICO-19950930-097|FSP950210-007|PUBLICO-19941124-118|PUBLICO-19950505-055|FSP940703-067|PUBLICO-19940419-107|FSP951024-011|PUBLICO-19940119-159|PUBLICO-19940509-096|PUBLICO-19940922-055,
0002,2601,Quem foi o criador de Tintin?,Quem foi o criador de Tintin?,N/A,resolvida_sw,10,1000,7.0,FSP950501-103,Folha,950501,FSP940131-135,PUBLICO-19940720-123,PUBLICO-19940502-015,PUBLICO-19951228-078,FSP940714-131,PUBLICO-19950731-089,PUBLICO-19951204-096,PUBLICO-19940419-115,PUBLICO-19941105-058,FSP950501-103|FSP940131-135|PUBLICO-19940720-123|PUBLICO-19940502-015|PUBLICO-19951228-078|FSP940714-131|PUBLICO-19950731-089|PUBLICO-19951204-096|PUBLICO-19940419-115|PUBLICO-19941105-058,
0003,2601,Quando é que ele foi criado?,Quando é que ele foi criado?,N/A,resolvida_sw,10,1000,9.5,FSP950507-010,Folha,950507,FSP950619-002,FSP950929-008,FSP950528-174,PUBLICO-19940613-050,PUBLICO-19950813-005,FSP940501-077,FSP940715-107,FSP940927-107,PUBLICO-19940612-074,FSP950507-010|FSP950619-002|FSP950929-008|FSP950528-174|PUBLICO-19940613-050|PUBLICO-19950813-005|FSP940501-077|FSP940715-107|FSP940927-107|PUBLICO-19940612-074,
0004,2601,Como se chama o cão dele?,Como se chama o cão dele?,N/A,resolvida_sw,10,1000,6.4,PUBLICO-19950427-125,Publico,1995-04-27,PUBLICO-19950605-074,PUBLICO-19950617-068,PUBLICO-19950919-132,PUBLICO-19940103-073,PUBLICO-19940104-102,PUBLICO-19950429-143,PUBLICO-19951002-071,PUBLICO-19940828-053,PUBLICO-19951017-009,PUBLICO-19950427-125|PUBLICO-19950605-074|PUBLICO-19950617-068|PUBLICO-19950919-132|PUBLICO-19940103-073|PUBLICO-19940104-102|PUBLICO-19950429-143|PUBLICO-19951002-071|PUBLICO-19940828-053|PUBLICO-19951017-009,
0005,2601,De que raça é o cão?,De que raça é o cão?,N/A,resolvida_sw,10,1000,14.7,FSP940326-006,Folha,940326,FSP951007-092,PUBLICO-19940121-130,PUBLICO-19940122-147,PUBLICO-19940828-053,PUBLICO-19941101-094,FSP940403-190,FSP940710-191,PUBLICO-19940404-059,PUBLICO-19941124-102,FSP940326-006|FSP951007-092|PUBLICO-19940121-130|PUBLICO-19940122-147|PUBLICO-19940828-053|PUBLICO-19941101-094|FSP940403-190|FSP940710-191|PUBLICO-19940404-059|PUBLICO-19941124-102,
0006,2602,Diga uma escola de samba fundada nos anos 40.,Diga uma escola de samba fundada nos anos 40.,N/A,resolvida_sw,10,365,46.2,PUBLICO-19950419-131,Publico,1995-04-19,PUBLICO-19940719-157,PUBLICO-19940216-061,PUBLICO-19951130-134,FSP940309-010,FSP951224-178,PUBLICO-19951019-139,PUBLICO-19951026-118,PUBLICO-19951102-102,PUBLICO-19951109-111,PUBLICO-19950419-131|PUBLICO-19940719-157|PUBLICO-19940216-061|PUBLICO-19951130-134|FSP940309-010|FSP951224-178|PUBLICO-19951019-139|PUBLICO-19951026-118|PUBLICO-19951102-102|PUBLICO-19951109-111,
0007,2603,Em que ano houve um terramoto no Irão?,Em que ano houve um terramoto no Irão?,N/A,resolvida_sw,10,1000,33.0,PUBLICO-19950322-134,Publico,1995-03-22,PUBLICO-19940512-132,PUBLICO-19940606-062,PUBLICO-19951230-053,PUBLICO-19940902-064,PUBLICO-19950531-170,PUBLICO-19941226-031,PUBLICO-19940322-001,PUBLICO-19950603-071,PUBLICO-19941202-117,PUBLICO-19950322-134|PUBLICO-19940512-132|PUBLICO-19940606-062|PUBLICO-19951230-053|PUBLICO-19940902-064|PUBLICO-19950531-170|PUBLICO-19941226-031|PUBLICO-19940322-001|PUBLICO-19950603-071|PUBLICO-19941202-117,
0008,2604,Quanto pesa um beija-flor?,Quanto pesa um beija-flor?,N/A,resolvida_sw,10,1000,17.2,PUBLICO-19951224-083,Publico,1995-12-24,PUBLICO-19941004-084,PUBLICO-19950701-061,PUBLICO-19941108-104,PUBLICO-19941019-117,PUBLICO-19940509-100,PUBLICO-19940521-142,PUBLICO-19951230-053,PUBLICO-19941002-113,PUBLICO-19940727-051,PUBLICO-19951224-083|PUBLICO-19941004-084|PUBLICO-19950701-061|PUBLICO-19941108-104|PUBLICO-19941019-117|PUBLICO-19940509-100|PUBLICO-19940521-142|PUBLICO-19951230-053|PUBLICO-19941002-113|PUBLICO-19940727-051,
0009,2605,Onde ficava a Gália Cisalpina?,Onde ficava a Gália Cisalpina?,N/A,resolvida_sw,10,1000,34.2,PUBLICO-19951202-070,Publico,1995-12-02,FSP940828-096,PUBLICO-19940706-135,PUBLICO-19940322-063,FSP951230-095,PUBLICO-19950507-063,FSP940509-088,PUBLICO-19950318-006,PUBLICO-19950527-104,PUBLICO-19951128-019,PUBLICO-19951202-070|FSP940828-096|PUBLICO-19940706-135|PUBLICO-19940322-063|FSP951230-095|PUBLICO-19950507-063|FSP940509-088|PUBLICO-19950318-006|PUBLICO-19950527-104|PUBLICO-19951128-019,
0010,2606,Quantas províncias tem a Catalunha?,Quantas províncias tem a Catalunha?,N/A,resolvida_sw,10,1000,15.9,PUBLICO-19940630-099,Publico,1994-06-30,PUBLICO-19950715-140,PUBLICO-19951126-035,PUBLICO-19940224-091,PUBLICO-19940422-086,PUBLICO-19941009-072,PUBLICO-19940213-081,PUBLICO-19940416-109,PUBLICO-19940811-082,PUBLICO-19940306-088,PUBLICO-19940630-099|PUBLICO-19950715-140|PUBLICO-19951126-035|PUBLICO-19940224-091|PUBLICO-19940422-086|PUBLICO-19941009-072|PUBLICO-19940213-081|PUBLICO-19940416-109|PUBLICO-19940811-082|PUBLICO-19940306-088,
0011,2607,Qual é a montanha mais alta do México?,Qual é a montanha mais alta do México?,N/A,resolvida_sw,10,1000,21.7,FSP951224-108,Folha,951224,PUBLICO-19940809-072,FSP950316-137,PUBLICO-19950228-002,PUBLICO-19940805-018,PUBLICO-19940802-018,PUBLICO-19950401-164,PUBLICO-19950711-047,FSP950418-003,PUBLICO-19940803-010,FSP951224-108|PUBLICO-19940809-072|FSP950316-137|PUBLICO-19950228-002|PUBLICO-19940805-018|PUBLICO-19940802-018|PUBLICO-19950401-164|PUBLICO-19950711-047|FSP950418-003|PUBLICO-19940803-010,
0012,2607,E do Japão?,E do Japão?,N/A,resolvida_sw,10,1000,6.1,FSP940821-170,Folha,940821,PUBLICO-19940701-056,PUBLICO-19950818-141,PUBLICO-19940628-035,PUBLICO-19940711-039,FSP950723-055,PUBLICO-19940127-066,PUBLICO-19940808-029,PUBLICO-19941014-005,PUBLICO-19950309-073,FSP940821-170|PUBLICO-19940701-056|PUBLICO-19950818-141|PUBLICO-19940628-035|PUBLICO-19940711-039|FSP950723-055|PUBLICO-19940127-066|PUBLICO-19940808-029|PUBLICO-19941014-005|PUBLICO-19950309-073,
0013,2608,Onde fica Saint-Exupéry?,Onde fica Saint-Exupéry?,N/A,resolvida_sw,10,1000,15.5,PUBLICO-19940521-163,Publico,1994-05-21,PUBLICO-19940522-121,PUBLICO-19940706-135,FSP940626-117,PUBLICO-19941025-021,PUBLICO-19941210-163,PUBLICO-19941214-117,PUBLICO-19940518-157,PUBLICO-19940315-121,PUBLICO-19940516-110,PUBLICO-19940521-163|PUBLICO-19940522-121|PUBLICO-19940706-135|FSP940626-117|PUBLICO-19941025-021|PUBLICO-19941210-163|PUBLICO-19941214-117|PUBLICO-19940518-157|PUBLICO-19940315-121|PUBLICO-19940516-110,
0014,2609,Qual a altura do Kebnekaise?,Qual a altura do Kebnekaise?,N/A,resolvida_sw,10,1000,10.8,PUBLICO-19940901-125,Publico,1994-09-01,PUBLICO-19951002-123,FSP941010-081,PUBLICO-19940603-104,PUBLICO-19940621-131,PUBLICO-19940802-122,PUBLICO-19950318-152,PUBLICO-19940607-145,PUBLICO-19940415-153,PUBLICO-19940625-003,PUBLICO-19940901-125|PUBLICO-19951002-123|FSP941010-081|PUBLICO-19940603-104|PUBLICO-19940621-131|PUBLICO-19940802-122|PUBLICO-19950318-152|PUBLICO-19940607-145|PUBLICO-19940415-153|PUBLICO-19940625-003,
0015,2610,Quem escreveu Fernão Capelo Gaivota?,Quem escreveu Fernão Capelo Gaivota?,N/A,resolvida_sw,10,1000,18.9,PUBLICO-19941213-141,Publico,1994-12-13,FSP940223-179,PUBLICO-19941123-108,PUBLICO-19951003-115,PUBLICO-19940329-112,FSP941008-072,PUBLICO-19950307-138,PUBLICO-19950815-006,PUBLICO-19951003-119,FSP950702-111,PUBLICO-19941213-141|FSP940223-179|PUBLICO-19941123-108|PUBLICO-19951003-115|PUBLICO-19940329-112|FSP941008-072|PUBLICO-19950307-138|PUBLICO-19950815-006|PUBLICO-19951003-119|FSP950702-111,
0016,2611,O que é um menir?,O que é um menir?,N/A,resolvida_sw,10,1000,17.8,PUBLICO-19950226-055,Publico,1995-02-26,PUBLICO-19940904-053,FSP950313-102,PUBLICO-19940910-006,PUBLICO-19950809-007,PUBLICO-19950813-096,FSP940816-054,FSP951202-008,FSP940108-120,FSP940309-077,PUBLICO-19950226-055|PUBLICO-19940904-053|FSP950313-102|PUBLICO-19940910-006|PUBLICO-19950809-007|PUBLICO-19950813-096|FSP940816-054|FSP951202-008|FSP940108-120|FSP940309-077,
0017,2612,Em que ano é que Ernie Els venceu o Dubai Open?,Em que ano é que Ernie Els venceu o Dubai Open?,N/A,resolvida_sw,10,1000,32.6,PUBLICO-19950104-013,Publico,1995-01-04,PUBLICO-19951015-011,PUBLICO-19950615-023,PUBLICO-19941110-023,PUBLICO-19940714-014,PUBLICO-19951022-033,PUBLICO-19941215-016,PUBLICO-19950119-023,FSP950513-106,PUBLICO-19940615-108,PUBLICO-19950104-013|PUBLICO-19951015-011|PUBLICO-19950615-023|PUBLICO-19941110-023|PUBLICO-19940714-014|PUBLICO-19951022-033|PUBLICO-19941215-016|PUBLICO-19950119-023|FSP950513-106|PUBLICO-19940615-108,
0018,2613,Quantos ossos têm a face?,Quantos ossos têm a face?,N/A,resolvida_sw,10,1000,17.0,PUBLICO-19941107-044,Publico,1994-11-07,PUBLICO-19940111-133,PUBLICO-19950203-181,PUBLICO-19940624-044,PUBLICO-19950308-138,FSP940715-127,PUBLICO-19940118-041,PUBLICO-19941014-156,PUBLICO-19941124-099,PUBLICO-19950603-198,PUBLICO-19941107-044|PUBLICO-19940111-133|PUBLICO-19950203-181|PUBLICO-19940624-044|PUBLICO-19950308-138|FSP940715-127|PUBLICO-19940118-041|PUBLICO-19941014-156|PUBLICO-19941124-099|PUBLICO-19950603-198,
0019,2614,Quando começou o Neolítico?,Quando começou o Neolítico?,N/A,resolvida_sw,10,1000,14.4,PUBLICO-19940119-123,Publico,1994-01-19,PUBLICO-19950222-091,FSP940304-012,FSP950827-201,PUBLICO-19940215-117,FSP940607-056,PUBLICO-19940212-133,FSP951024-049,FSP951029-032,PUBLICO-19941123-046,PUBLICO-19940119-123|PUBLICO-19950222-091|FSP940304-012|FSP950827-201|PUBLICO-19940215-117|FSP940607-056|PUBLICO-19940212-133|FSP951024-049|FSP951029-032|PUBLICO-19941123-046,
0020,2615,Quando nasceu Thomas Mann?,Quando nasceu Thomas Mann?,N/A,resolvida_sw,10,1000,29.8,PUBLICO-19940216-067,Publico,1994-02-16,FSP940222-135,FSP940220-166,PUBLICO-19940428-101,PUBLICO-19940824-098,FSP941010-064,PUBLICO-19950320-118,PUBLICO-19940816-033,PUBLICO-19940314-083,FSP950903-120,PUBLICO-19940216-067|FSP940222-135|FSP940220-166|PUBLICO-19940428-101|PUBLICO-19940824-098|FSP941010-064|PUBLICO-19950320-118|PUBLICO-19940816-033|PUBLICO-19940314-083|FSP950903-120,
0021,2615,E quando morreu?,E quando morreu?,N/A,resolvida_sw,10,1000,4.6,FSP950819-110,Folha,950819,FSP951111-097,PUBLICO-19941227-002,PUBLICO-19941002-095,PUBLICO-19950616-160,PUBLICO-19950720-011,PUBLICO-19951009-112,FSP940129-103,FSP940211-188,FSP940410-048,FSP950819-110|FSP951111-097|PUBLICO-19941227-002|PUBLICO-19941002-095|PUBLICO-19950616-160|PUBLICO-19950720-011|PUBLICO-19951009-112|FSP940129-103|FSP940211-188|FSP940410-048,
0022,2616,A que partido pertence Zapatero?,A que partido pertence Zapatero?,N/A,resolvida_sw,10,1000,20.7,FSP940413-028,Folha,940413,FSP950418-017,FSP940413-005,FSP950620-111,FSP951106-072,PUBLICO-19951018-110,FSP950717-023,FSP950822-054,FSP940425-104,PUBLICO-19940206-123,FSP940413-028|FSP950418-017|FSP940413-005|FSP950620-111|FSP951106-072|PUBLICO-19951018-110|FSP950717-023|FSP950822-054|FSP940425-104|PUBLICO-19940206-123,
0023,2617,Quem é FHC?,Quem é FHC?,N/A,resolvida_sw,10,1000,6.9,FSP940925-210,Folha,940925,FSP941023-002,FSP950218-024,FSP940203-184,FSP940220-065,FSP940220-079,FSP941001-011,FSP950130-009,FSP950611-111,FSP950725-042,FSP940925-210|FSP941023-002|FSP950218-024|FSP940203-184|FSP940220-065|FSP940220-079|FSP941001-011|FSP950130-009|FSP950611-111|FSP950725-042,
0024,2618,Quem foi Álvaro de Campos?,Quem foi Álvaro de Campos?,N/A,resolvida_sw,10,1000,7.2,FSP950120-015,Folha,950120,PUBLICO-19940905-017,FSP950701-059,FSP940110-069,PUBLICO-19940224-125,PUBLICO-19940612-054,PUBLICO-19950213-135,FSP940905-114,PUBLICO-19940909-050,FSP940313-189,FSP950120-015|PUBLICO-19940905-017|FSP950701-059|FSP940110-069|PUBLICO-19940224-125|PUBLICO-19940612-054|PUBLICO-19950213-135|FSP940905-114|PUBLICO-19940909-050|FSP940313-189,
0025,2618,Diga uma das suas obras.,Diga uma das suas obras.,N/A,resolvida_sw,10,365,17.1,PUBLICO-19941114-103,Publico,1994-11-14,PUBLICO-19951009-104,PUBLICO-19940412-119,FSP951005-083,PUBLICO-19950401-103,PUBLICO-19951220-011,FSP950429-105,PUBLICO-19940623-076,PUBLICO-19940628-108,PUBLICO-19941004-007,PUBLICO-19941114-103|PUBLICO-19951009-104|PUBLICO-19940412-119|FSP951005-083|PUBLICO-19950401-103|PUBLICO-19951220-011|FSP950429-105|PUBLICO-19940623-076|PUBLICO-19940628-108|PUBLICO-19941004-007,
0026,2619,Os tucanos são membros de que partido?,Os tucanos são membros de que partido?,N/A,resolvida_sw,10,1000,17.0,FSP940514-018,Folha,940514,FSP941020-011,FSP950717-024,FSP941223-011,FSP950510-031,FSP940508-021,FSP950906-020,FSP941125-018,FSP951102-011,FSP951209-015,FSP940514-018|FSP941020-011|FSP950717-024|FSP941223-011|FSP950510-031|FSP940508-021|FSP950906-020|FSP941125-018|FSP951102-011|FSP951209-015,
0027,2620,Quem foi Pierre Larousse?,Quem foi Pierre Larousse?,N/A,resolvida_sw,10,1000,17.3,PUBLICO-19940806-073,Publico,1994-08-06,PUBLICO-19941030-007,PUBLICO-19941222-106,PUBLICO-19950327-110,PUBLICO-19950426-107,FSP940124-115,FSP940124-116,PUBLICO-19940208-110,FSP940822-027,PUBLICO-19951231-021,PUBLICO-19940806-073|PUBLICO-19941030-007|PUBLICO-19941222-106|PUBLICO-19950327-110|PUBLICO-19950426-107|FSP940124-115|FSP940124-116|PUBLICO-19940208-110|FSP940822-027|PUBLICO-19951231-021,
0028,2621,O que é a Brabançonne?,O que é a Brabançonne?,N/A,resolvida_sw,10,1000,6.9,FSP950210-125,Folha,950210,PUBLICO-19950131-127,PUBLICO-19950131-128,PUBLICO-19950522-140,FSP940327-276,FSP940612-136,FSP940615-069,FSP941002-143,FSP941227-014,FSP950305-027,FSP950210-125|PUBLICO-19950131-127|PUBLICO-19950131-128|PUBLICO-19950522-140|FSP940327-276|FSP940612-136|FSP940615-069|FSP941002-143|FSP941227-014|FSP950305-027,
0029,2622,Onde vivem as aves tucanos?,Onde vivem as aves tucanos?,N/A,resolvida_sw,10,1000,44.1,PUBLICO-19940719-112,Publico,1994-07-19,PUBLICO-19940712-103,PUBLICO-19950913-122,PUBLICO-19950818-118,PUBLICO-19951204-094,PUBLICO-19940429-091,PUBLICO-19950922-149,FSP950922-105,PUBLICO-19950311-158,FSP951002-110,PUBLICO-19940719-112|PUBLICO-19940712-103|PUBLICO-19950913-122|PUBLICO-19950818-118|PUBLICO-19951204-094|PUBLICO-19940429-091|PUBLICO-19950922-149|FSP950922-105|PUBLICO-19950311-158|FSP951002-110,
0030,2623,Em que estado brasileiro habitam os tucanos?,Em que estado brasileiro habitam os tucanos?,N/A,resolvida_sw,10,1000,88.5,FSP950427-010,Folha,950427,PUBLICO-19941120-093,PUBLICO-19950314-119,PUBLICO-19940112-126,FSP950212-115,FSP951025-011,PUBLICO-19951004-110,FSP940106-181,PUBLICO-19940516-110,FSP941120-010,FSP950427-010|PUBLICO-19941120-093|PUBLICO-19950314-119|PUBLICO-19940112-126|FSP950212-115|FSP951025-011|PUBLICO-19951004-110|FSP940106-181|PUBLICO-19940516-110|FSP941120-010,
0031,2624,"Quem disse ""alea iacta est""?","Quem disse ""alea iacta est""?",N/A,resolvida_sw,0,0,1.4,,,,,,,,,,,,,,
0032,2624,Ao atravessar que rio?,Ao atravessar que rio?,N/A,resolvida_sw,10,1000,20.0,PUBLICO-19951115-015,Publico,1995-11-15,PUBLICO-19950608-090,PUBLICO-19950625-162,FSP940605-134,PUBLICO-19940530-071,PUBLICO-19950328-050,PUBLICO-19950602-085,PUBLICO-19950602-107,PUBLICO-19941027-060,PUBLICO-19940917-095,PUBLICO-19951115-015|PUBLICO-19950608-090|PUBLICO-19950625-162|FSP940605-134|PUBLICO-19940530-071|PUBLICO-19950328-050|PUBLICO-19950602-085|PUBLICO-19950602-107|PUBLICO-19941027-060|PUBLICO-19940917-095,
0033,2625,Que político é conhecido como Iznogoud?,Que político é conhecido como Iznogoud?,N/A,resolvida_sw,10,1000,21.3,PUBLICO-19941113-091,Publico,1994-11-13,FSP940305-035,PUBLICO-19940903-091,FSP951130-162,PUBLICO-19940327-061,PUBLICO-19950219-060,PUBLICO-19951202-076,FSP940424-124,PUBLICO-19940601-147,PUBLICO-19950215-126,PUBLICO-19941113-091|FSP940305-035|PUBLICO-19940903-091|FSP951130-162|PUBLICO-19940327-061|PUBLICO-19950219-060|PUBLICO-19951202-076|FSP940424-124|PUBLICO-19940601-147|PUBLICO-19950215-126,
0034,2626,O que é uma cítara?,O que é uma cítara?,N/A,resolvida_sw,10,1000,8.0,FSP950530-105,Folha,950530,FSP950512-102,PUBLICO-19941017-082,FSP950102-075,FSP950518-101,FSP950922-022,FSP951020-119,PUBLICO-19940225-139,PUBLICO-19940907-122,PUBLICO-19950614-003,FSP950530-105|FSP950512-102|PUBLICO-19941017-082|FSP950102-075|FSP950518-101|FSP950922-022|FSP951020-119|PUBLICO-19940225-139|PUBLICO-19940907-122|PUBLICO-19950614-003,
0035,2627,O que era o A6M Zero?,O que era o A6M Zero?,N/A,resolvida_sw,10,1000,5.2,PUBLICO-19950620-019,Publico,1995-06-20,PUBLICO-19950716-022,PUBLICO-19950806-008,PUBLICO-19950131-127,PUBLICO-19950131-128,PUBLICO-19950522-140,FSP940327-276,FSP940612-136,FSP940615-069,FSP941002-143,PUBLICO-19950620-019|PUBLICO-19950716-022|PUBLICO-19950806-008|PUBLICO-19950131-127|PUBLICO-19950131-128|PUBLICO-19950522-140|FSP940327-276|FSP940612-136|FSP940615-069|FSP941002-143,
0036,2628,Diga um gás nobre.,Diga um gás nobre.,N/A,resolvida_sw,10,365,20.0,PUBLICO-19951215-127,Publico,1995-12-15,PUBLICO-19941229-104,PUBLICO-19950628-158,PUBLICO-19950702-051,PUBLICO-19950718-144,PUBLICO-19950324-071,PUBLICO-19950620-151,FSP940526-027,FSP950716-157,FSP940812-012,PUBLICO-19951215-127|PUBLICO-19941229-104|PUBLICO-19950628-158|PUBLICO-19950702-051|PUBLICO-19950718-144|PUBLICO-19950324-071|PUBLICO-19950620-151|FSP940526-027|FSP950716-157|FSP940812-012,
0037,2628,E um não-metal,E um não-metal,N/A,resolvida_sw,10,1000,13.6,FSP950920-004,Folha,950920,PUBLICO-19950911-070,PUBLICO-19950518-176,PUBLICO-19950704-140,PUBLICO-19951024-120,PUBLICO-19940627-090,PUBLICO-19950911-058,FSP940513-097,PUBLICO-19950418-108,FSP940319-161,FSP950920-004|PUBLICO-19950911-070|PUBLICO-19950518-176|PUBLICO-19950704-140|PUBLICO-19951024-120|PUBLICO-19940627-090|PUBLICO-19950911-058|FSP940513-097|PUBLICO-19950418-108|FSP940319-161,
0038,2629,Qual é o asteróide número 4?,Qual é o asteróide número 4?,N/A,resolvida_sw,10,1000,17.4,FSP940710-111,Folha,940710,PUBLICO-19940724-034,PUBLICO-19940219-110,PUBLICO-19940505-068,PUBLICO-19940509-091,PUBLICO-19940609-098,PUBLICO-19940706-106,PUBLICO-19940804-080,PUBLICO-19940805-018,PUBLICO-19940815-007,FSP940710-111|PUBLICO-19940724-034|PUBLICO-19940219-110|PUBLICO-19940505-068|PUBLICO-19940509-091|PUBLICO-19940609-098|PUBLICO-19940706-106|PUBLICO-19940804-080|PUBLICO-19940805-018|PUBLICO-19940815-007,
0039,2630,Qual a capital da Picardia?,Qual a capital da Picardia?,N/A,resolvida_sw,10,1000,3.6,FSP940502-034,Folha,940502,PUBLICO-19940816-093,PUBLICO-19941228-096,PUBLICO-19950109-006,FSP940925-212,FSP941009-091,FSP940415-039,FSP950531-059,FSP951020-062,PUBLICO-19940723-151,FSP940502-034|PUBLICO-19940816-093|PUBLICO-19941228-096|PUBLICO-19950109-006|FSP940925-212|FSP941009-091|FSP940415-039|FSP950531-059|FSP951020-062|PUBLICO-19940723-151,
0040,2631,Quando reinou Isabel II de Castela?,Quando reinou Isabel II de Castela?,N/A,resolvida_sw,10,1000,28.4,PUBLICO-19940224-151,Publico,1994-02-24,PUBLICO-19940223-191,PUBLICO-19951025-129,PUBLICO-19950428-153,PUBLICO-19940516-110,PUBLICO-19951231-089,PUBLICO-19941021-122,PUBLICO-19951205-106,PUBLICO-19941227-126,PUBLICO-19940820-007,PUBLICO-19940224-151|PUBLICO-19940223-191|PUBLICO-19951025-129|PUBLICO-19950428-153|PUBLICO-19940516-110|PUBLICO-19951231-089|PUBLICO-19941021-122|PUBLICO-19951205-106|PUBLICO-19941227-126|PUBLICO-19940820-007,
0041,2632,Quem é Narcís Serra?,Quem é Narcís Serra?,N/A,resolvida_sw,10,1000,53.8,PUBLICO-19950619-138,Publico,1995-06-19,FSP950101-158,PUBLICO-19941015-134,PUBLICO-19951210-061,FSP941102-059,PUBLICO-19940909-117,PUBLICO-19941210-179,PUBLICO-19950710-081,PUBLICO-19940220-087,PUBLICO-19940405-061,PUBLICO-19950619-138|FSP950101-158|PUBLICO-19941015-134|PUBLICO-19951210-061|FSP941102-059|PUBLICO-19940909-117|PUBLICO-19941210-179|PUBLICO-19950710-081|PUBLICO-19940220-087|PUBLICO-19940405-061,
