q_id,q_group_id,pergunta_orig,query_enviada,tipo_anafora,modo,n_retornados,total_hits_est,tempo_ms,doc_1_id,doc_1_fonte,doc_1_data,doc_2_id,doc_3_id,doc_4_id,doc_5_id,doc_6_id,doc_7_id,doc_8_id,doc_9_id,doc_10_id,todos_doc_ids,erro
0042,2633,Como se chamava o cavalo do Dom Quixote?,Como se chamava o cavalo do Dom Quixote?,N/A,resolvida_sw,10,1000,21.6,PUBLICO-19940104-088,Publico,1994-01-04,FSP940312-190,FSP950121-006,PUBLICO-19940715-009,PUBLICO-19940330-129,PUBLICO-19940526-145,FSP950709-134,PUBLICO-19940914-114,FSP951119-173,PUBLICO-19941212-102,PUBLICO-19940104-088|FSP940312-190|FSP950121-006|PUBLICO-19940715-009|PUBLICO-19940330-129|PUBLICO-19940526-145|FSP950709-134|PUBLICO-19940914-114|FSP951119-173|PUBLICO-19941212-102,
0043,2634,Qual é a capital do estado de Nova York?,Qual é a capital do estado de Nova York?,N/A,resolvida_sw,10,1000,12.8,FSP941009-091,Folha,941009,FSP940313-182,FSP940605-027,PUBLICO-19940416-065,PUBLICO-19950716-091,FSP951029-029,FSP940515-155,FSP950319-033,FSP950319-055,FSP940520-095,FSP941009-091|FSP940313-182|FSP940605-027|PUBLICO-19940416-065|PUBLICO-19950716-091|FSP951029-029|FSP940515-155|FSP950319-033|FSP950319-055|FSP940520-095,
0044,2635,Quais são as províncias da Irlanda?,Quais são as províncias da Irlanda?,N/A,resolvida_sw,10,1000,6.2,PUBLICO-19940422-086,Publico,1994-04-22,PUBLICO-19940306-088,PUBLICO-19940914-058,PUBLICO-19950910-046,PUBLICO-19940401-080,PUBLICO-19940414-041,PUBLICO-19950827-096,PUBLICO-19940905-029,PUBLICO-19951221-094,PUBLICO-19951023-110,PUBLICO-19940422-086|PUBLICO-19940306-088|PUBLICO-19940914-058|PUBLICO-19950910-046|PUBLICO-19940401-080|PUBLICO-19940414-041|PUBLICO-19950827-096|PUBLICO-19940905-029|PUBLICO-19951221-094|PUBLICO-19951023-110,
0045,2636,Que instrumento tocava Ringo Starr?,Que instrumento tocava Ringo Starr?,N/A,resolvida_sw,10,1000,29.7,PUBLICO-19941115-133,Publico,1994-11-15,PUBLICO-19940817-104,PUBLICO-19950924-046,PUBLICO-19951107-145,PUBLICO-19950307-130,PUBLICO-19950607-174,FSP951112-074,PUBLICO-19950516-106,PUBLICO-19940621-131,PUBLICO-19940220-007,PUBLICO-19941115-133|PUBLICO-19940817-104|PUBLICO-19950924-046|PUBLICO-19951107-145|PUBLICO-19950307-130|PUBLICO-19950607-174|FSP951112-074|PUBLICO-19950516-106|PUBLICO-19940621-131|PUBLICO-19940220-007,
0046,2637,Que papa sucedeu a Leão X?,Que papa sucedeu a Leão X?,N/A,resolvida_sw,10,1000,23.2,PUBLICO-19941114-107,Publico,1994-11-14,PUBLICO-19940308-152,PUBLICO-19951213-109,PUBLICO-19940323-123,PUBLICO-19941228-112,PUBLICO-19941229-084,PUBLICO-19951105-079,PUBLICO-19950416-083,PUBLICO-19950307-154,PUBLICO-19950118-149,PUBLICO-19941114-107|PUBLICO-19940308-152|PUBLICO-19951213-109|PUBLICO-19940323-123|PUBLICO-19941228-112|PUBLICO-19941229-084|PUBLICO-19951105-079|PUBLICO-19950416-083|PUBLICO-19950307-154|PUBLICO-19950118-149,
0047,2638,Quem é o pato mais rico do mundo?,Quem é o pato mais rico do mundo?,N/A,resolvida_sw,10,1000,14.5,FSP950830-012,Folha,950830,PUBLICO-19950221-116,FSP940831-073,FSP940819-086,PUBLICO-19950728-050,FSP950403-106,PUBLICO-19951207-078,FSP940507-081,FSP940606-026,PUBLICO-19950726-145,FSP950830-012|PUBLICO-19950221-116|FSP940831-073|FSP940819-086|PUBLICO-19950728-050|FSP950403-106|PUBLICO-19951207-078|FSP940507-081|FSP940606-026|PUBLICO-19950726-145,
0048,2639,Quem são os sobrinhos do Pato Donald?,Quem são os sobrinhos do Pato Donald?,N/A,resolvida_sw,10,1000,19.3,FSP940814-018,Folha,940814,PUBLICO-19950510-157,FSP951218-106,PUBLICO-19951108-135,PUBLICO-19951202-007,FSP940108-184,FSP950819-096,PUBLICO-19940403-071,PUBLICO-19940715-146,PUBLICO-19940906-105,FSP940814-018|PUBLICO-19950510-157|FSP951218-106|PUBLICO-19951108-135|PUBLICO-19951202-007|FSP940108-184|FSP950819-096|PUBLICO-19940403-071|PUBLICO-19940715-146|PUBLICO-19940906-105,
0049,2639,E a namorada dele?,E a namorada dele?,N/A,resolvida_sw,10,1000,14.3,FSP951112-179,Folha,951112,FSP940102-111,FSP940216-002,FSP950614-127,FSP950609-096,FSP951008-175,FSP951229-115,PUBLICO-19950723-109,FSP950811-126,PUBLICO-19950802-011,FSP951112-179|FSP940102-111|FSP940216-002|FSP950614-127|FSP950609-096|FSP951008-175|FSP951229-115|PUBLICO-19950723-109|FSP950811-126|PUBLICO-19950802-011,
0050,2639,Qual a profissão dele?,Qual a profissão dele?,N/A,resolvida_sw,10,1000,9.9,PUBLICO-19940928-087,Publico,1994-09-28,PUBLICO-19941011-117,PUBLICO-19941026-135,PUBLICO-19941102-087,PUBLICO-19941129-105,PUBLICO-19941130-129,PUBLICO-19941207-131,PUBLICO-19941215-135,PUBLICO-19950118-124,PUBLICO-19950124-100,PUBLICO-19940928-087|PUBLICO-19941011-117|PUBLICO-19941026-135|PUBLICO-19941102-087|PUBLICO-19941129-105|PUBLICO-19941130-129|PUBLICO-19941207-131|PUBLICO-19941215-135|PUBLICO-19950118-124|PUBLICO-19950124-100,
0051,2640,O que é a paella?,O que é a paella?,N/A,resolvida_sw,10,1000,9.3,FSP940731-164,Folha,940731,FSP940605-190,FSP951027-135,FSP941127-141,FSP940623-062,FSP941004-054,PUBLICO-19950728-106,FSP940811-067,FSP950505-123,FSP951110-138,FSP940731-164|FSP940605-190|FSP951027-135|FSP941127-141|FSP940623-062|FSP941004-054|PUBLICO-19950728-106|FSP940811-067|FSP950505-123|FSP951110-138,
0052,2641,Que países abrange a Lapónia?,Que países abrange a Lapónia?,N/A,resolvida_sw,10,1000,24.2,PUBLICO-19940702-122,Publico,1994-07-02,PUBLICO-19950727-008,PUBLICO-19940523-109,PUBLICO-19940102-073,PUBLICO-19951028-002,PUBLICO-19950625-130,PUBLICO-19940813-086,PUBLICO-19950414-128,PUBLICO-19950916-137,FSP940914-147,PUBLICO-19940702-122|PUBLICO-19950727-008|PUBLICO-19940523-109|PUBLICO-19940102-073|PUBLICO-19951028-002|PUBLICO-19950625-130|PUBLICO-19940813-086|PUBLICO-19950414-128|PUBLICO-19950916-137|FSP940914-147,
0053,2642,O que é a açorda?,O que é a açorda?,N/A,resolvida_sw,10,1000,8.9,FSP950519-016,Folha,950519,FSP940103-104,PUBLICO-19940802-092,FSP940227-285,FSP950315-048,PUBLICO-19940924-097,PUBLICO-19941115-125,PUBLICO-19950924-132,PUBLICO-19951002-078,PUBLICO-19951024-090,FSP950519-016|FSP940103-104|PUBLICO-19940802-092|FSP940227-285|FSP950315-048|PUBLICO-19940924-097|PUBLICO-19941115-125|PUBLICO-19950924-132|PUBLICO-19951002-078|PUBLICO-19951024-090,
0054,2643,O que é o feta?,O que é o feta?,N/A,resolvida_sw,10,1000,5.3,PUBLICO-19940724-080,Publico,1994-07-24,FSP940922-101,PUBLICO-19950413-102,PUBLICO-19950131-127,PUBLICO-19950131-128,PUBLICO-19950522-140,FSP940327-276,FSP940612-136,FSP940615-069,FSP941002-143,PUBLICO-19940724-080|FSP940922-101|PUBLICO-19950413-102|PUBLICO-19950131-127|PUBLICO-19950131-128|PUBLICO-19950522-140|FSP940327-276|FSP940612-136|FSP940615-069|FSP941002-143,
0055,2643,De que país é originário?,De que país é originário?,N/A,resolvida_sw,10,1000,14.1,FSP951020-009,Folha,951020,PUBLICO-19940226-011,PUBLICO-19950210-173,PUBLICO-19951009-046,PUBLICO-19951013-003,PUBLICO-19951204-068,PUBLICO-19940212-034,PUBLICO-19941106-077,PUBLICO-19940225-157,PUBLICO-19940604-100,FSP951020-009|PUBLICO-19940226-011|PUBLICO-19950210-173|PUBLICO-19951009-046|PUBLICO-19951013-003|PUBLICO-19951204-068|PUBLICO-19940212-034|PUBLICO-19941106-077|PUBLICO-19940225-157|PUBLICO-19940604-100,
0056,2644,Em que ano foi construída a sinagoga de Curação?,Em que ano foi construída a sinagoga de Curação?,N/A,resolvida_sw,10,1000,24.9,FSP950525-126,Folha,950525,PUBLICO-19940509-094,PUBLICO-19940118-131,PUBLICO-19951224-083,PUBLICO-19950126-162,PUBLICO-19940108-079,PUBLICO-19940403-087,PUBLICO-19951109-117,PUBLICO-19940327-092,PUBLICO-19940330-134,FSP950525-126|PUBLICO-19940509-094|PUBLICO-19940118-131|PUBLICO-19951224-083|PUBLICO-19950126-162|PUBLICO-19940108-079|PUBLICO-19940403-087|PUBLICO-19951109-117|PUBLICO-19940327-092|PUBLICO-19940330-134,
0057,2645,Com que idade o Mequinho foi campeão brasileiro de xadrez?,Com que idade o Mequinho foi campeão brasileiro de xadrez?,N/A,resolvida_sw,10,1000,15.2,PUBLICO-19950304-077,Publico,1995-03-04,PUBLICO-19950626-135,PUBLICO-19950307-135,PUBLICO-19950107-132,PUBLICO-19951231-069,FSP950212-117,PUBLICO-19940514-101,PUBLICO-19950506-082,PUBLICO-19940117-074,FSP951218-028,PUBLICO-19950304-077|PUBLICO-19950626-135|PUBLICO-19950307-135|PUBLICO-19950107-132|PUBLICO-19951231-069|FSP950212-117|PUBLICO-19940514-101|PUBLICO-19950506-082|PUBLICO-19940117-074|FSP951218-028,
0058,2646,Quem dirigiu o Japão durante a Segunda Guerra Mundial?,Quem dirigiu o Japão durante a Segunda Guerra Mundial?,N/A,resolvida_sw,10,1000,33.7,PUBLICO-19940205-035,Publico,1994-02-05,PUBLICO-19950720-105,PUBLICO-19950322-141,PUBLICO-19950115-015,FSP950408-102,PUBLICO-19940415-086,PUBLICO-19950419-108,PUBLICO-19950312-036,PUBLICO-19950420-119,PUBLICO-19950203-149,PUBLICO-19940205-035|PUBLICO-19950720-105|PUBLICO-19950322-141|PUBLICO-19950115-015|FSP950408-102|PUBLICO-19940415-086|PUBLICO-19950419-108|PUBLICO-19950312-036|PUBLICO-19950420-119|PUBLICO-19950203-149,
0059,2647,Quantas repúblicas formavam a URSS?,Quantas repúblicas formavam a URSS?,N/A,resolvida_sw,10,1000,29.6,PUBLICO-19941018-117,Publico,1994-10-18,PUBLICO-19940526-099,PUBLICO-19951023-128,PUBLICO-19950330-117,PUBLICO-19950328-104,PUBLICO-19940515-086,PUBLICO-19941024-044,FSP950904-029,PUBLICO-19951109-097,FSP940619-026,PUBLICO-19941018-117|PUBLICO-19940526-099|PUBLICO-19951023-128|PUBLICO-19950330-117|PUBLICO-19950328-104|PUBLICO-19940515-086|PUBLICO-19941024-044|FSP950904-029|PUBLICO-19951109-097|FSP940619-026,
0060,2648,Em que país fica a Ossétia do Norte?,Em que país fica a Ossétia do Norte?,N/A,resolvida_sw,10,1000,9.0,PUBLICO-19940718-081,Publico,1994-07-18,PUBLICO-19940916-113,PUBLICO-19950612-049,FSP940228-009,FSP951213-047,PUBLICO-19941130-127,FSP950619-041,FSP950909-094,PUBLICO-19940520-032,FSP950611-071,PUBLICO-19940718-081|PUBLICO-19940916-113|PUBLICO-19950612-049|FSP940228-009|FSP951213-047|PUBLICO-19941130-127|FSP950619-041|FSP950909-094|PUBLICO-19940520-032|FSP950611-071,
0061,2648,E a Ossétia do Sul?,E a Ossétia do Sul?,N/A,resolvida_sw,10,1000,6.6,PUBLICO-19940204-049,Publico,1994-02-04,PUBLICO-19950830-045,PUBLICO-19941212-039,PUBLICO-19950109-056,PUBLICO-19951106-037,PUBLICO-19951127-037,PUBLICO-19950227-043,PUBLICO-19941212-116,PUBLICO-19941007-055,PUBLICO-19940125-051,PUBLICO-19940204-049|PUBLICO-19950830-045|PUBLICO-19941212-039|PUBLICO-19950109-056|PUBLICO-19951106-037|PUBLICO-19951127-037|PUBLICO-19950227-043|PUBLICO-19941212-116|PUBLICO-19941007-055|PUBLICO-19940125-051,
0062,2649,Qual a largura do Canal da Mancha no seu ponto mais estreito?,Qual a largura do Canal da Mancha no seu ponto mais estreito?,N/A,resolvida_sw,10,1000,8.3,FSP950215-139,Folha,950215,PUBLICO-19951111-152,PUBLICO-19951229-042,PUBLICO-19941230-059,PUBLICO-19940226-054,PUBLICO-19940729-125,FSP940403-165,PUBLICO-19940605-027,PUBLICO-19940219-110,PUBLICO-19940505-068,FSP950215-139|PUBLICO-19951111-152|PUBLICO-19951229-042|PUBLICO-19941230-059|PUBLICO-19940226-054|PUBLICO-19940729-125|FSP940403-165|PUBLICO-19940605-027|PUBLICO-19940219-110|PUBLICO-19940505-068,
0063,2650,Quem criou Descobridores de Catan?,Quem criou Descobridores de Catan?,N/A,resolvida_sw,10,1000,16.6,PUBLICO-19940224-149,Publico,1994-02-24,FSP950602-068,FSP941025-102,FSP941216-096,FSP951025-045,PUBLICO-19940221-031,PUBLICO-19940329-113,PUBLICO-19950307-137,PUBLICO-19950310-149,PUBLICO-19950504-181,PUBLICO-19940224-149|FSP950602-068|FSP941025-102|FSP941216-096|FSP951025-045|PUBLICO-19940221-031|PUBLICO-19940329-113|PUBLICO-19950307-137|PUBLICO-19950310-149|PUBLICO-19950504-181,
0064,2651,Quem é o santo patrono dos cervejeiros?,Quem é o santo patrono dos cervejeiros?,N/A,resolvida_sw,10,1000,61.2,PUBLICO-19950115-092,Publico,1995-01-15,PUBLICO-19940223-166,PUBLICO-19940309-127,PUBLICO-19940319-182,FSP950811-111,PUBLICO-19950619-004,PUBLICO-19950823-043,FSP950121-116,PUBLICO-19940510-095,PUBLICO-19950318-114,PUBLICO-19950115-092|PUBLICO-19940223-166|PUBLICO-19940309-127|PUBLICO-19940319-182|FSP950811-111|PUBLICO-19950619-004|PUBLICO-19950823-043|FSP950121-116|PUBLICO-19940510-095|PUBLICO-19950318-114,
0065,2651,E do pão?,E do pão?,N/A,resolvida_sw,10,1000,4.2,FSP950407-131,Folha,950407,PUBLICO-19950331-045,FSP950901-073,PUBLICO-19940614-054,PUBLICO-19950312-067,PUBLICO-19950319-082,FSP940911-115,FSP950924-195,PUBLICO-19940308-115,PUBLICO-19950731-043,FSP950407-131|PUBLICO-19950331-045|FSP950901-073|PUBLICO-19940614-054|PUBLICO-19950312-067|PUBLICO-19950319-082|FSP940911-115|FSP950924-195|PUBLICO-19940308-115|PUBLICO-19950731-043,
0066,2652,O que é o jagertee?,O que é o jagertee?,N/A,resolvida_sw,10,1000,3.5,PUBLICO-19950323-090,Publico,1995-03-23,PUBLICO-19950131-127,PUBLICO-19950131-128,PUBLICO-19950522-140,FSP940327-276,FSP940612-136,FSP940615-069,FSP941002-143,FSP941227-014,FSP950305-027,PUBLICO-19950323-090|PUBLICO-19950131-127|PUBLICO-19950131-128|PUBLICO-19950522-140|FSP940327-276|FSP940612-136|FSP940615-069|FSP941002-143|FSP941227-014|FSP950305-027,
0067,2653,Qual a envergadura de um milhafre-preto?,Qual a envergadura de um milhafre-preto?,N/A,resolvida_sw,10,1000,18.6,PUBLICO-19940514-061,Publico,1994-05-14,PUBLICO-19950106-087,PUBLICO-19940416-065,PUBLICO-19950322-127,PUBLICO-19950403-048,FSP940526-080,FSP950615-009,PUBLICO-19950211-036,PUBLICO-19950413-143,FSP941119-086,PUBLICO-19940514-061|PUBLICO-19950106-087|PUBLICO-19940416-065|PUBLICO-19950322-127|PUBLICO-19950403-048|FSP940526-080|FSP950615-009|PUBLICO-19950211-036|PUBLICO-19950413-143|FSP941119-086,
0068,2653,Quanto é que ele pesa?,Quanto é que ele pesa?,N/A,resolvida_sw,10,1000,2.2,PUBLICO-19940213-037,Publico,1994-02-13,PUBLICO-19941004-084,PUBLICO-19940211-061,PUBLICO-19940930-099,PUBLICO-19941023-039,PUBLICO-19941026-049,PUBLICO-19950209-114,PUBLICO-19940313-043,PUBLICO-19941105-054,PUBLICO-19950217-133,PUBLICO-19940213-037|PUBLICO-19941004-084|PUBLICO-19940211-061|PUBLICO-19940930-099|PUBLICO-19941023-039|PUBLICO-19941026-049|PUBLICO-19950209-114|PUBLICO-19940313-043|PUBLICO-19941105-054|PUBLICO-19950217-133,
0069,2653,Que tipo de ave é?,Que tipo de ave é?,N/A,resolvida_sw,10,1000,8.1,PUBLICO-19950117-125,Publico,1995-01-17,FSP940113-124,PUBLICO-19951227-094,FSP950803-106,PUBLICO-19951230-053,PUBLICO-19940918-066,PUBLICO-19950918-106,PUBLICO-19950211-149,FSP950517-007,PUBLICO-19940219-105,PUBLICO-19950117-125|FSP940113-124|PUBLICO-19951227-094|FSP950803-106|PUBLICO-19951230-053|PUBLICO-19940918-066|PUBLICO-19950918-106|PUBLICO-19950211-149|FSP950517-007|PUBLICO-19940219-105,
0070,2654,Quantas províncias tem a Ucrânia?,Quantas províncias tem a Ucrânia?,N/A,resolvida_sw,10,1000,5.1,PUBLICO-19950715-140,Publico,1995-07-15,PUBLICO-19951126-035,PUBLICO-19940224-091,PUBLICO-19940422-086,PUBLICO-19941009-072,PUBLICO-19940213-081,PUBLICO-19940416-109,PUBLICO-19940811-082,PUBLICO-19940306-088,PUBLICO-19950524-167,PUBLICO-19950715-140|PUBLICO-19951126-035|PUBLICO-19940224-091|PUBLICO-19940422-086|PUBLICO-19941009-072|PUBLICO-19940213-081|PUBLICO-19940416-109|PUBLICO-19940811-082|PUBLICO-19940306-088|PUBLICO-19950524-167,
0071,2655,Que partido foi fundado por Amílcar Cabral?,Que partido foi fundado por Amílcar Cabral?,N/A,resolvida_sw,10,1000,14.5,FSP940424-235,Folha,940424,PUBLICO-19941027-125,FSP940131-016,PUBLICO-19950630-102,PUBLICO-19950701-119,PUBLICO-19950223-127,PUBLICO-19950815-037,PUBLICO-19950109-099,PUBLICO-19940325-058,PUBLICO-19950227-084,FSP940424-235|PUBLICO-19941027-125|FSP940131-016|PUBLICO-19950630-102|PUBLICO-19950701-119|PUBLICO-19950223-127|PUBLICO-19950815-037|PUBLICO-19950109-099|PUBLICO-19940325-058|PUBLICO-19950227-084,
0072,2656,Quantos filhos teve a rainha Cristina da Suécia?,Quantos filhos teve a rainha Cristina da Suécia?,N/A,resolvida_sw,10,1000,21.9,PUBLICO-19951203-104,Publico,1995-12-03,PUBLICO-19940323-009,PUBLICO-19940906-148,PUBLICO-19940823-090,PUBLICO-19941012-126,PUBLICO-19941102-098,PUBLICO-19951124-137,FSP951217-189,PUBLICO-19940523-080,PUBLICO-19951111-069,PUBLICO-19951203-104|PUBLICO-19940323-009|PUBLICO-19940906-148|PUBLICO-19940823-090|PUBLICO-19941012-126|PUBLICO-19941102-098|PUBLICO-19951124-137|FSP951217-189|PUBLICO-19940523-080|PUBLICO-19951111-069,
0073,2657,Quem é o dono do Chelsea?,Quem é o dono do Chelsea?,N/A,resolvida_sw,10,1000,5.2,PUBLICO-19940115-023,Publico,1994-01-15,PUBLICO-19940323-171,PUBLICO-19940409-024,FSP940626-016,FSP940716-044,PUBLICO-19940122-073,PUBLICO-19941128-074,FSP940828-183,FSP940829-028,FSP941015-075,PUBLICO-19940115-023|PUBLICO-19940323-171|PUBLICO-19940409-024|FSP940626-016|FSP940716-044|PUBLICO-19940122-073|PUBLICO-19941128-074|FSP940828-183|FSP940829-028|FSP941015-075,
0074,2658,Quantos habitantes tinha Berlim em 1850?,Quantos habitantes tinha Berlim em 1850?,N/A,resolvida_sw,10,1000,29.8,PUBLICO-19950716-090,Publico,1995-07-16,PUBLICO-19950507-123,PUBLICO-19950713-165,PUBLICO-19950626-132,PUBLICO-19940810-038,PUBLICO-19940812-056,PUBLICO-19950108-089,FSP940925-089,PUBLICO-19951207-059,PUBLICO-19951224-083,PUBLICO-19950716-090|PUBLICO-19950507-123|PUBLICO-19950713-165|PUBLICO-19950626-132|PUBLICO-19940810-038|PUBLICO-19940812-056|PUBLICO-19950108-089|FSP940925-089|PUBLICO-19951207-059|PUBLICO-19951224-083,
0075,2658,Quantos tem hoje em dia?,Quantos tem hoje em dia?,N/A,resolvida_sw,10,1000,8.4,FSP950104-010,Folha,950104,PUBLICO-19950321-152,PUBLICO-19941003-005,PUBLICO-19950328-109,PUBLICO-19950215-016,PUBLICO-19950520-200,PUBLICO-19950520-202,PUBLICO-19950621-152,PUBLICO-19951022-090,PUBLICO-19951208-129,FSP950104-010|PUBLICO-19950321-152|PUBLICO-19941003-005|PUBLICO-19950328-109|PUBLICO-19950215-016|PUBLICO-19950520-200|PUBLICO-19950520-202|PUBLICO-19950621-152|PUBLICO-19951022-090|PUBLICO-19951208-129,
0076,2659,O que é o ICCROM?,O que é o ICCROM?,N/A,resolvida_sw,10,1000,4.4,PUBLICO-19940601-014,Publico,1994-06-01,PUBLICO-19950131-127,PUBLICO-19950131-128,PUBLICO-19950522-140,FSP940327-276,FSP940612-136,FSP940615-069,FSP941002-143,FSP941227-014,FSP950305-027,PUBLICO-19940601-014|PUBLICO-19950131-127|PUBLICO-19950131-128|PUBLICO-19950522-140|FSP940327-276|FSP940612-136|FSP940615-069|FSP941002-143|FSP941227-014|FSP950305-027,
0077,2659,Quantos estados membros tinha em 1995?,Quantos estados membros tinha em 1995?,N/A,resolvida_sw,10,1000,27.2,PUBLICO-19950209-094,Publico,1995-02-09,PUBLICO-19940717-030,PUBLICO-19950518-114,PUBLICO-19950612-123,PUBLICO-19950628-058,PUBLICO-19940109-074,PUBLICO-19950305-104,PUBLICO-19950328-110,PUBLICO-19950329-100,PUBLICO-19950401-163,PUBLICO-19950209-094|PUBLICO-19940717-030|PUBLICO-19950518-114|PUBLICO-19950612-123|PUBLICO-19950628-058|PUBLICO-19940109-074|PUBLICO-19950305-104|PUBLICO-19950328-110|PUBLICO-19950329-100|PUBLICO-19950401-163,
0078,2659,Onde tem a sua sede?,Onde tem a sua sede?,N/A,resolvida_sw,10,1000,3.5,FSP950528-150,Folha,950528,PUBLICO-19941117-081,FSP940813-097,PUBLICO-19940802-095,FSP940509-088,FSP950415-077,PUBLICO-19940110-067,PUBLICO-19941025-021,PUBLICO-19950401-058,PUBLICO-19950520-089,FSP950528-150|PUBLICO-19941117-081|FSP940813-097|PUBLICO-19940802-095|FSP940509-088|FSP950415-077|PUBLICO-19940110-067|PUBLICO-19941025-021|PUBLICO-19950401-058|PUBLICO-19950520-089,
0079,2660,Quantas vezes ganhou Portugal a Taça Davis?,Quantas vezes ganhou Portugal a Taça Davis?,N/A,resolvida_sw,10,1000,38.4,PUBLICO-19950324-035,Publico,1995-03-24,PUBLICO-19940501-063,PUBLICO-19950921-049,PUBLICO-19940308-114,PUBLICO-19950609-126,PUBLICO-19941113-118,PUBLICO-19941117-024,PUBLICO-19940703-024,PUBLICO-19950924-072,PUBLICO-19950207-126,PUBLICO-19950324-035|PUBLICO-19940501-063|PUBLICO-19950921-049|PUBLICO-19940308-114|PUBLICO-19950609-126|PUBLICO-19941113-118|PUBLICO-19941117-024|PUBLICO-19940703-024|PUBLICO-19950924-072|PUBLICO-19950207-126,
0080,2661,O que é o IPM em Portugal?,O que é o IPM em Portugal?,N/A,resolvida_sw,10,1000,5.1,PUBLICO-19940519-005,Publico,1994-05-19,PUBLICO-19950408-006,PUBLICO-19950629-005,PUBLICO-19940122-011,PUBLICO-19941226-007,PUBLICO-19950505-016,PUBLICO-19940717-010,PUBLICO-19950510-169,PUBLICO-19950703-128,PUBLICO-19950803-006,PUBLICO-19940519-005|PUBLICO-19950408-006|PUBLICO-19950629-005|PUBLICO-19940122-011|PUBLICO-19941226-007|PUBLICO-19950505-016|PUBLICO-19940717-010|PUBLICO-19950510-169|PUBLICO-19950703-128|PUBLICO-19950803-006,
